episode,total_reward,mean_pooled_capacity_kwh,fairness_violation_rate,mean_stability_margin,mean_capacity_delta
1,5.116967632168569,79.0116488127374,0.0,0.0,0.01169676321685694
2,4.563024966325044,67.89986635119881,0.0,0.0,0.006302496632504415
3,5.106790738196934,76.07565249612051,0.0,0.0,0.010679073819693397
4,4.580720151606618,70.30661364529422,0.0,0.0,0.008072015160661833
5,4.569729232199528,69.3785034102918,0.0,0.0,0.006972923219952816
6,5.107435567259674,77.75018541002899,0.0,0.0,0.010743556725967385
7,4.568958659501575,65.76441057282139,0.0,0.0,0.006895865950157588
8,5.074571779465139,70.42168888645628,0.0,0.0,0.007457177946513921
9,4.060236693211369,63.615893907743256,0.0,0.0,0.006023669321136854
10,5.102623709682099,76.99072213008965,0.0,0.0,0.010262370968209897
11,5.070548458734983,70.3431116618772,0.0,0.0,0.007054845873498186
12,3.543015342594777,63.999452336915546,0.0,0.0,0.004301534259477679
13,4.064678127609383,65.26853347836322,0.0,0.0,0.0064678127609383695
14,4.552390028494203,64.41712028678391,0.0,0.0,0.0052390028494203105
15,4.571582442958369,66.67234396580255,0.0,0.0,0.007158244295836858
16,5.077180550017606,68.31121977609014,0.0,0.0,0.00771805500176055
17,4.562199846708416,67.26906855596648,0.0,0.0,0.006219984670841643
18,4.573235626620384,66.58603222173225,0.0,0.0,0.0073235626620384835
19,4.57110595389641,66.20514609796471,0.0,0.0,0.007110595389641057
20,4.563018547057709,68.81272887876358,0.0,0.0,0.006301854705770967
21,5.0721459341014015,69.33267764244047,0.0,0.0,0.007214593410140131
22,4.092035634395618,75.63510874407174,0.0,0.0,0.009203563439561774
23,4.620029768541422,77.23701900579275,0.0,0.0,0.012002976854142217
24,3.022573660499261,57.17351919410172,0.0,0.0,0.002257366049926094
25,5.093050593360944,76.1197079938281,0.0,0.0,0.009305059336094379
26,4.567481685212287,70.40823175348332,0.0,0.0,0.006748168521228666
27,5.124656566921988,80.22838014715708,0.0,0.0,0.012465656692198769
28,4.079899234483014,68.88700317325012,0.0,0.0,0.007989923448301368
29,4.577409363605545,71.68279258351643,0.0,0.0,0.007740936360554476
30,5.097785977630666,77.02904574266981,0.0,0.0,0.009778597763066539
31,4.571958991406775,69.2387932635244,0.0,0.0,0.007195899140677503
32,4.58060812582915,73.81264884738867,0.0,0.0,0.008060812582914991
33,4.593275685122181,74.53089153615258,0.0,0.0,0.009327568512218108
34,5.077878150265683,67.86370367929126,0.0,0.0,0.007787815026568244
35,4.061641633759188,68.5328611889398,0.0,0.0,0.00616416337591877
36,4.585209570437877,71.13606562777113,0.0,0.0,0.008520957043787665
37,4.06419382320855,69.68874929556392,0.0,0.0,0.006419382320854995
38,4.578088770255432,69.1491857801827,0.0,0.0,0.007808877025543143
39,4.587764445443624,69.70750854727214,0.0,0.0,0.008776444544362414
40,4.55353444828046,66.90119546639356,0.0,0.0,0.005353444828045971
