episode,policy_loss,value_loss,mean_coalition_size,mean_surplus_captured
1.0,-0.011913227690383854,0.9584101587533951,1.0,2.065963817086219
2.0,-0.005106833940371435,0.9156353026628494,1.95,2.1627526040279514
3.0,-0.00751276021415812,0.7394469827413559,2.1,1.7814883545738744
4.0,-0.0044301663420627906,1.2187601923942566,2.05,1.7855558553978437
5.0,-0.002424127614649496,1.4285556972026825,2.25,1.9241032926667991
6.0,-0.003969860392826319,0.7548037767410278,1.95,1.8461660577079235
7.0,-0.0037534853417310497,1.2445927262306213,2.45,2.563204349917907
8.0,-0.0014733085483384701,0.9626306295394897,2.2,2.3837823632384323
9.0,-0.004455948696704537,0.5686067938804626,1.9,2.343101837335067
10.0,-0.0030922284425471958,0.8515929132699966,2.25,1.7669187268413722
11.0,-0.003127771002182378,1.3659996688365936,2.9,2.7304646080229062
12.0,-0.0022548636731516193,0.3611188530921936,2.35,1.4656936897471582
13.0,-0.003166085587581957,0.3583655580878258,2.45,1.0080693953612136
14.0,-0.004408675500962956,0.3609413877129555,2.9,2.187952284793613
15.0,-0.0028560286629366162,6.00290048122406,3.7,3.2547903240011635
16.0,-0.003296913387330003,0.3309650644659996,2.9,1.201689529521806
17.0,-0.006352469374686897,0.36668334901332855,3.1,1.9201932437357787
18.0,-0.004821488711731936,0.6834362000226974,2.85,2.6826645783523024
19.0,-0.0042245809960878115,0.9232581853866577,2.95,2.9811373267319023
20.0,-0.0057121070462742285,0.9168452322483063,3.55,2.577147000481633
21.0,-0.0023504384380068633,3.608801484107971,4.05,3.935007016841747
22.0,-0.0016112004754540664,2.392112970352173,3.55,2.136623267290607
23.0,-0.002241874682367739,1.720187783241272,3.6,2.563917673922361
24.0,-0.002518112672260031,0.8551789969205856,3.7,2.5301126372783393
25.0,-0.005020454652112605,0.49378645420074463,3.45,2.6704500810234704
26.0,-0.00480589222832335,0.3569471836090088,3.75,2.3353499366321016
27.0,-0.0013503773251428266,0.941728800535202,3.65,0.8555591710894422
28.0,-0.007096651047468327,1.8543742299079895,3.6,3.618531585000845
29.0,-0.0028982910729247633,0.982423409819603,3.7,2.947408983617127
30.0,-0.0040580537403002385,2.335742712020874,4.25,4.089664342499292
31.0,-0.004810089183738065,4.285907089710236,4.3,5.619814758455801
32.0,-0.004191556724835921,2.4535640478134155,4.1,4.647989496501804
33.0,-0.0012656819094081894,4.012045383453369,4.55,2.735448493233593
34.0,-0.0014876002588785743,1.6158391833305359,4.2,2.9287682234326136
35.0,-0.0004439787773299342,2.4300143718719482,4.25,2.466617011588447
36.0,-0.0017257719406916117,2.6348274648189545,4.05,2.3616082356675077
37.0,-0.0010032039153162308,2.9883551597595215,4.45,3.297659621646715
38.0,-0.0015380783310683377,0.6176301389932632,4.35,1.6000738078152879
39.0,-0.000969721393666889,12.02709174156189,4.45,3.9601666724912037
40.0,-0.0027297884498326042,0.9038322791457176,4.55,2.4721104580611626
41.0,-0.0009200470152421758,2.692069172859192,4.65,3.7163987080741707
42.0,-0.0015933754629543274,3.3184964656829834,4.65,4.830088377876244
43.0,-0.0024443813747711818,1.843030720949173,4.55,4.430617755732034
