Agents,Proportional_ms,Nash_ms,Shapley_ms
3,0.007499998901039362,15.321399958338588,0.05070003680884838
5,0.006100046448409557,1.0647999588400126,0.08910003816708922
7,0.003500026650726795,0.8716000011190772,0.38569996831938624
8,0.003400025889277458,0.5086999735794961,0.874500023201108
9,0.0035999692045152187,0.8030000026337802,2.415299997664988
10,0.004299974534660578,0.5956999957561493,4.467400023713708
15,0.004500034265220165,0.7013999857008457,TIMEOUT/ERROR
20,0.004599976819008589,0.8234999841079116,TIMEOUT/ERROR
30,0.005499983672052622,2.203500014729798,TIMEOUT/ERROR
40,0.008200004231184721,1.7091999761760235,TIMEOUT/ERROR
50,0.008600007276982069,2.0510999602265656,TIMEOUT/ERROR
